bout_id,state_code,state,start_epoch,end_epoch,start_time_s,end_time_s,dur_s,ach_mean,ach_median,ach_iqr,ach_std,ach_n,ach_trend_mean,ach_trend_median,ach_trend_iqr,ach_trend_std,ach_trend_n,ach_trend_slope_per_min,event_labels_in,n_events_in
66,1,NREM,9341,66,9340,66,-9274,-1.260965,-1.260965,0,0,1,-1.591018,-1.591018,0,0,1,NaN,,0
67,2,REM,9460,67,9459,67,-9392,-1.549439,-1.549439,0,0,1,-2.756134,-2.756134,0,0,1,NaN,,0
68,0,WAKE,9685,68,9684,68,-9616,-6.397158,-6.397158,0,0,1,-5.789943,-5.789943,0,0,1,NaN,,0
69,1,NREM,9692,69,9691,69,-9622,-1.379184,-1.379184,0,0,1,-5.35549,-5.35549,0,0,1,NaN,,0
70,0,WAKE,9861,70,9860,70,-9790,2.405282,2.405282,0,0,1,-1.372694,-1.372694,0,0,1,NaN,,0
71,1,NREM,9872,71,9871,71,-9800,4.15073,4.15073,0,0,1,-1.151261,-1.151261,0,0,1,NaN,,0
72,0,WAKE,9959,72,9958,72,-9886,2.270487,2.270487,0,0,1,-1.310782,-1.310782,0,0,1,NaN,,0
73,1,NREM,9962,73,9961,73,-9888,1.967621,1.967621,0,0,1,-1.33514,-1.33514,0,0,1,NaN,,0
74,2,REM,10359,74,10358,74,-10284,-2.15084,-2.15084,0,0,1,-1.777305,-1.777305,0,0,1,NaN,,0
75,0,WAKE,10445,75,10444,75,-10369,0.9641145,0.9641145,0,0,1,-0.3786795,-0.3786795,0,0,1,NaN,,0
76,1,NREM,10465,76,10464,76,-10388,0.5736648,0.5736648,0,0,1,-0.2488637,-0.2488637,0,0,1,NaN,,0
77,0,WAKE,10548,77,10547,77,-10470,0.2490745,0.2490745,0,0,1,-0.1482282,-0.1482282,0,0,1,NaN,,0
78,1,NREM,10551,78,10550,78,-10472,1.086502,1.086502,0,0,1,-0.1158442,-0.1158442,0,0,1,NaN,,0
79,0,WAKE,10579,79,10578,79,-10499,-0.3197777,-0.3197777,0,0,1,0.06714777,0.06714777,0,0,1,NaN,,0
80,1,NREM,10582,80,10581,80,-10501,2.368567,2.368567,0,0,1,0.06886567,0.06886567,0,0,1,NaN,,0
81,0,WAKE,10591,81,10590,81,-10509,0.4237072,0.4237072,0,0,1,0.00748598,0.00748598,0,0,1,NaN,,0
82,1,NREM,10594,82,10593,82,-10511,1.118376,1.118376,0,0,1,-0.04075158,-0.04075158,0,0,1,NaN,,0
83,0,WAKE,10607,83,10606,83,-10523,1.409845,1.409845,0,0,1,-0.3973216,-0.3973216,0,0,1,NaN,,0
84,1,NREM,10611,84,10610,84,-10526,0.9315234,0.9315234,0,0,1,-0.5269219,-0.5269219,0,0,1,NaN,,0
85,0,WAKE,10656,85,10655,85,-10570,-1.372436,-1.372436,0,0,1,-1.871143,-1.871143,0,0,1,NaN,,0
86,1,NREM,10660,86,10659,86,-10573,2.430738,2.430738,0,0,1,-1.98318,-1.98318,0,0,1,NaN,,0
87,2,REM,10861,87,10860,87,-10773,-2.008191,-2.008191,0,0,1,-1.527976,-1.527976,0,0,1,NaN,,0
88,0,WAKE,10916,88,10915,88,-10827,2.159261,2.159261,0,0,1,0.06507969,0.06507969,0,0,1,NaN,,0
89,1,NREM,13781,89,13780,89,-13691,0.3676684,0.3676684,0,0,1,-0.2003818,-0.2003818,0,0,1,NaN,,0
90,0,WAKE,14099,90,14098,90,-14008,0.3378946,0.3378946,0,0,1,1.01959,1.01959,0,0,1,NaN,,0
91,1,NREM,14373,91,14372,91,-14281,1.980927,1.980927,0,0,1,0.3362014,0.3362014,0,0,1,NaN,,0
92,0,WAKE,14418,92,14417,92,-14325,-0.3554651,-0.3554651,0,0,1,-0.3203108,-0.3203108,0,0,1,NaN,,0
93,1,NREM,14424,93,14423,93,-14330,1.53291,1.53291,0,0,1,-0.3654597,-0.3654597,0,0,1,NaN,,0
94,0,WAKE,14501,94,14500,94,-14406,1.438929,1.438929,0,0,1,-0.02712981,-0.02712981,0,0,1,NaN,,0
95,1,NREM,14506,95,14505,95,-14410,1.981611,1.981611,0,0,1,-0.03709673,-0.03709673,0,0,1,NaN,,0
96,0,WAKE,14612,96,14611,96,-14515,1.459946,1.459946,0,0,1,0.2316542,0.2316542,0,0,1,NaN,,0
97,1,NREM,14616,97,14615,97,-14518,1.906966,1.906966,0,0,1,0.2225714,0.2225714,0,0,1,NaN,,0
98,2,REM,14679,98,14678,98,-14580,0.1898414,0.1898414,0,0,1,-0.1020597,-0.1020597,0,0,1,NaN,,0
99,1,NREM,14726,99,14725,99,-14626,1.368104,1.368104,0,0,1,0.233552,0.233552,0,0,1,NaN,,0
100,0,WAKE,14913,100,14912,100,-14812,2.736518,2.736518,0,0,1,0.2972023,0.2972023,0,0,1,NaN,,0
101,1,NREM,14925,101,14924,101,-14823,4.215391,4.215391,0,0,1,0.4873906,0.4873906,0,0,1,NaN,,0
102,2,REM,15165,102,15164,102,-15062,-0.2435796,-0.2435796,0,0,1,0.8866432,0.8866432,0,0,1,NaN,,0
103,0,WAKE,15199,103,15198,103,-15095,2.21907,2.21907,0,0,1,1.053189,1.053189,0,0,1,NaN,,0
104,1,NREM,15205,104,15204,104,-15100,3.039094,3.039094,0,0,1,1.06804,1.06804,0,0,1,NaN,,0
105,0,WAKE,15399,105,15398,105,-15293,3.037734,3.037734,0,0,1,0.5725451,0.5725451,0,0,1,NaN,,0
106,1,NREM,15403,106,15402,106,-15296,3.017098,3.017098,0,0,1,0.514288,0.514288,0,0,1,NaN,,0
107,2,REM,15484,107,15483,107,-15376,-2.389162,-2.389162,0,0,1,-0.860185,-0.860185,0,0,1,NaN,,0
108,0,WAKE,15632,108,15631,108,-15523,-1.631416,-1.631416,0,0,1,-1.668725,-1.668725,0,0,1,NaN,,0
109,1,NREM,17270,109,17269,109,-17160,0.2466064,0.2466064,0,0,1,-0.2476482,-0.2476482,0,0,1,NaN,,0
110,0,WAKE,17417,110,17416,110,-17306,1.124306,1.124306,0,0,1,-0.5681711,-0.5681711,0,0,1,NaN,,0
111,1,NREM,17425,111,17424,111,-17313,1.537174,1.537174,0,0,1,-0.5858597,-0.5858597,0,0,1,NaN,,0
112,0,WAKE,17499,112,17498,112,-17386,-2.839467,-2.839467,0,0,1,-1.656819,-1.656819,0,0,1,NaN,,0
113,1,NREM,17503,113,17502,113,-17389,0.5387533,0.5387533,0,0,1,-1.675514,-1.675514,0,0,1,NaN,,0
114,0,WAKE,17542,114,17541,114,-17427,1.53762,1.53762,0,0,1,-1.623979,-1.623979,0,0,1,NaN,,0
115,1,NREM,17547,115,17546,115,-17431,0.7988077,0.7988077,0,0,1,-1.664783,-1.664783,0,0,1,NaN,,0
116,2,REM,17582,116,17581,116,-17465,-2.868798,-2.868798,0,0,1,-1.737692,-1.737692,0,0,1,NaN,,0
117,0,WAKE,17682,117,17681,117,-17564,-4.20772,-4.20772,0,0,1,-2.525986,-2.525986,0,0,1,NaN,,0
118,1,NREM,17692,118,17691,118,-17573,-1.27895,-1.27895,0,0,1,-2.431847,-2.431847,0,0,1,NaN,,0
119,0,WAKE,17840,119,17839,119,-17720,-2.746024,-2.746024,0,0,1,-1.431906,-1.431906,0,0,1,NaN,,0
120,1,NREM,17845,120,17844,120,-17724,0.1723251,0.1723251,0,0,1,-1.43839,-1.43839,0,0,1,NaN,,0
121,2,REM,18031,121,18030,121,-17909,-1.944375,-1.944375,0,0,1,-1.548919,-1.548919,0,0,1,NaN,,0
122,0,WAKE,18048,122,18047,122,-17925,0.2607433,0.2607433,0,0,1,-1.158041,-1.158041,0,0,1,NaN,,0
123,1,NREM,18054,123,18053,123,-17930,2.260175,2.260175,0,0,1,-1.0862,-1.0862,0,0,1,NaN,,0
124,0,WAKE,18264,124,18263,124,-18139,2.072869,2.072869,0,0,1,0.01103971,0.01103971,0,0,1,NaN,,0
125,1,NREM,18290,125,18289,125,-18164,0.3866526,0.3866526,0,0,1,-0.3543983,-0.3543983,0,0,1,NaN,,0
126,0,WAKE,18382,126,18381,126,-18255,0.6156527,0.6156527,0,0,1,-1.497566,-1.497566,0,0,1,NaN,,0
127,1,NREM,18389,127,18388,127,-18261,3.1302,3.1302,0,0,1,-1.436605,-1.436605,0,0,1,NaN,,0
128,2,REM,18485,128,18484,128,-18356,-1.44048,-1.44048,0,0,1,-1.294713,-1.294713,0,0,1,NaN,,0
129,0,WAKE,18520,129,18519,129,-18390,-0.1980688,-0.1980688,0,0,1,-1.418006,-1.418006,0,0,1,NaN,,0
130,1,NREM,18525,130,18524,130,-18394,1.360679,1.360679,0,0,1,-1.452913,-1.452913,0,0,1,NaN,,0
131,0,WAKE,18583,131,18582,131,-18451,1.190557,1.190557,0,0,1,-1.244086,-1.244086,0,0,1,NaN,,0
132,1,NREM,18589,132,18588,132,-18456,1.305161,1.305161,0,0,1,-1.208505,-1.208505,0,0,1,NaN,,0
133,0,WAKE,18667,133,18666,133,-18533,1.332188,1.332188,0,0,1,-1.438813,-1.438813,0,0,1,NaN,,0
134,1,NREM,18673,134,18672,134,-18538,1.064672,1.064672,0,0,1,-1.444968,-1.444968,0,0,1,NaN,,0
135,0,WAKE,18720,135,18719,135,-18584,-0.2150731,-0.2150731,0,0,1,-0.9389899,-0.9389899,0,0,1,NaN,,0
136,1,NREM,18733,136,18732,136,-18596,1.937237,1.937237,0,0,1,-0.8773105,-0.8773105,0,0,1,NaN,,0
137,2,REM,18809,137,18808,137,-18671,-1.891461,-1.891461,0,0,1,-1.451346,-1.451346,0,0,1,NaN,,0
138,0,WAKE,18898,138,18897,138,-18759,-6.181208,-6.181208,0,0,1,-2.534985,-2.534985,0,0,1,NaN,,0
139,1,NREM,19003,139,19002,139,-18863,1.712361,1.712361,0,0,1,-0.5265,-0.5265,0,0,1,NaN,,0
140,0,WAKE,19048,140,19047,140,-18907,0.134319,0.134319,0,0,1,-0.8267929,-0.8267929,0,0,1,NaN,,0
141,1,NREM,19052,141,19051,141,-18910,1.186126,1.186126,0,0,1,-0.8054258,-0.8054258,0,0,1,NaN,,0
142,0,WAKE,19132,142,19131,142,-18989,-1.302118,-1.302118,0,0,1,-0.7004218,-0.7004218,0,0,1,NaN,,0
143,1,NREM,19136,143,19135,143,-18992,0.6145035,0.6145035,0,0,1,-0.7379266,-0.7379266,0,0,1,NaN,,0
