mouse,geno,cond,dur_s,start_s,src_file
mouse?,GENO?,unknown,93,5758,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,37,5764,20251014_ambtemp_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,115,5774,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,83,5781,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,181,5847,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,24,5855,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,123,5867,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,35,5949,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,22,5992,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,133,6056,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,30,6078,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,179,6108,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,142,6135,20251026_drugs_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,68,6144,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,32,6159,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,65,6234,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,55,6293,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,79,6347,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,41,6394,20251002_baseline_mouse2_WT_scored_scores_1Hz.csv
