hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
3,10800,1368,36,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,1746,42,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,2218,41,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,1294,19,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,1685,33,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,1335,30,NaN,NREM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,36,1,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
1,3600,158,4,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
2,7200,145,3,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,784,7,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,635,5,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,714,9,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,344,6,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,439,4,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,580,4,NaN,REM,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,73,11,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
1,3600,233,38,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
2,7200,255,44,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,103,29,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,176,34,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,256,34,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,42,7,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,192,27,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,158,29,NaN,MA,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,1059,8,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,1484,13,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,1057,15,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,2158,5,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,1687,9,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,287,9,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,1360,5,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,1093,4,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,797,7,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,1504,9,NaN,WK,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,2184,39,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,1724,21,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,2225,23,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,1414,8,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,1416,18,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,2253,57,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,1683,38,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,1696,45,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,1900,28,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,1400,24,NaN,NREM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,151,4,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,310,2,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,222,2,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,0,0,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,422,3,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,775,6,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,390,4,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,601,5,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,725,5,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,358,3,NaN,REM,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,206,31,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,82,9,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,96,9,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,28,2,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,75,9,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,285,49,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,167,32,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,210,42,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,178,20,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,141,16,NaN,MA,20251005_baseline_mouse8_WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
