label,time_rel_s,mean_dFF_bc,se,n
drug_injection,-122,-1.0589478881968,0,1
drug_injection,-121,-1.35553487855324,0,1
drug_injection,-120,-0.901938525022359,0,1
drug_injection,-119,-1.10135838109383,0,1
drug_injection,-118,-0.711458531202169,0,1
drug_injection,-117,-0.844248858274312,0,1
drug_injection,-116,-0.343415942968221,0,1
drug_injection,-115,0.276088806806712,0,1
drug_injection,-114,0.698123904882579,0,1
drug_injection,-113,0.716078433214335,0,1
drug_injection,-112,0.614542338071971,0,1
drug_injection,-111,0.101902219473033,0,1
drug_injection,-110,-0.274462548078389,0,1
drug_injection,-109,-0.0979267628801777,0,1
drug_injection,-108,-0.205063727678151,0,1
drug_injection,-107,-0.103001919568868,0,1
drug_injection,-106,-0.132078316987844,0,1
drug_injection,-105,0.0219171075212047,0,1
drug_injection,-104,0.269367593346743,0,1
drug_injection,-103,-0.130088713945241,0,1
drug_injection,-102,-0.501348880113454,0,1
drug_injection,-101,-0.746415701688619,0,1
drug_injection,-100,-0.740883198560567,0,1
drug_injection,-99,-1.04828771668801,0,1
drug_injection,-98,-0.663508024991841,0,1
drug_injection,-97,-0.23318394738564,0,1
drug_injection,-96,-0.349660483182759,0,1
drug_injection,-95,-0.354706195176931,0,1
drug_injection,-94,-1.0278803976191,0,1
drug_injection,-93,-1.3939065607203,0,1
drug_injection,-92,-1.88320001679787,0,1
drug_injection,-91,-1.3589864643229,0,1
drug_injection,-90,0.518063980160861,0,1
drug_injection,-89,2.23708001059165,0,1
drug_injection,-88,3.01991454046836,0,1
drug_injection,-87,2.6300341216909,0,1
drug_injection,-86,2.62143078726402,0,1
drug_injection,-85,2.61790648382774,0,1
drug_injection,-84,2.16989818495384,0,1
drug_injection,-83,2.57129112166038,0,1
drug_injection,-82,2.24983087462059,0,1
drug_injection,-81,2.26726928633323,0,1
drug_injection,-80,2.44197836798301,0,1
drug_injection,-79,1.57322302740684,0,1
drug_injection,-78,0.91531583946815,0,1
drug_injection,-77,1.37125632446876,0,1
drug_injection,-76,1.11475381535163,0,1
drug_injection,-75,0.250431152998118,0,1
drug_injection,-74,-0.297020045102926,0,1
drug_injection,-73,-0.849146452726216,0,1
drug_injection,-72,-0.285317686380239,0,1
drug_injection,-71,0.599142256199031,0,1
drug_injection,-70,0.403413557453661,0,1
drug_injection,-69,0.10277191084495,0,1
drug_injection,-68,0.541110682307391,0,1
drug_injection,-67,0.448100029497056,0,1
drug_injection,-66,0.513019549666552,0,1
drug_injection,-65,0.528222980915217,0,1
drug_injection,-64,0.677023324190287,0,1
drug_injection,-63,0.627038615761905,0,1
drug_injection,-62,0.632583948789744,0,1
drug_injection,-61,0.981167647062449,0,1
drug_injection,-60,0.47389972489944,0,1
drug_injection,-59,0.639777797280459,0,1
drug_injection,-58,1.05889067333808,0,1
drug_injection,-57,0.868940684019236,0,1
drug_injection,-56,1.57500377577415,0,1
drug_injection,-55,2.38647023123374,0,1
drug_injection,-54,1.67295757216087,0,1
drug_injection,-53,1.49938109797111,0,1
drug_injection,-52,2.23386875074974,0,1
drug_injection,-51,2.25472012442222,0,1
drug_injection,-50,2.10972336214653,0,1
drug_injection,-49,2.33832076471916,0,1
drug_injection,-48,2.19112530630699,0,1
drug_injection,-47,2.40782776754966,0,1
drug_injection,-46,2.19024768751731,0,1
drug_injection,-45,1.95257428568473,0,1
drug_injection,-44,2.08545258921257,0,1
drug_injection,-43,1.95318058413139,0,1
drug_injection,-42,1.87944892328849,0,1
drug_injection,-41,1.91869119089714,0,1
drug_injection,-40,2.16213396471611,0,1
drug_injection,-39,1.83388212603202,0,1
drug_injection,-38,1.50197795313468,0,1
drug_injection,-37,2.04919627588859,0,1
drug_injection,-36,2.03446010035148,0,1
drug_injection,-35,1.64383212011924,0,1
drug_injection,-34,1.95491305273643,0,1
drug_injection,-33,1.87596729677787,0,1
drug_injection,-32,1.65397480410209,0,1
drug_injection,-31,1.61865571421257,0,1
drug_injection,-30,1.53540185373893,0,1
drug_injection,-29,1.97650638502708,0,1
drug_injection,-28,1.79404619616142,0,1
drug_injection,-27,1.88993528765312,0,1
drug_injection,-26,2.09375861567131,0,1
drug_injection,-25,1.76354208868614,0,1
drug_injection,-24,2.63169852179161,0,1
drug_injection,-23,2.7500440208303,0,1
drug_injection,-22,2.61467305105796,0,1
drug_injection,-21,2.74173847120872,0,1
drug_injection,-20,2.52846208494773,0,1
drug_injection,-19,2.15955952089897,0,1
drug_injection,-18,2.14083531778923,0,1
drug_injection,-17,2.43706050795188,0,1
drug_injection,-16,2.27486911696067,0,1
drug_injection,-15,2.26828220766654,0,1
drug_injection,-14,2.25790265482536,0,1
drug_injection,-13,1.92008069437614,0,1
drug_injection,-12,1.67816880625358,0,1
drug_injection,-11,1.90497568529716,0,1
drug_injection,-10,2.23444488924613,0,1
drug_injection,-9,2.39492467325798,0,1
drug_injection,-8,2.54742637556663,0,1
drug_injection,-7,1.86733499449363,0,1
drug_injection,-6,1.65421036165824,0,1
drug_injection,-5,0.568269613205104,0,1
drug_injection,-4,0.706410410820155,0,1
drug_injection,-3,1.86762908381095,0,1
drug_injection,-2,2.0429215757238,0,1
drug_injection,-1,2.39648834150901,0,1
drug_injection,0,2.09490159433952,0,1
drug_injection,1,1.91911235731712,0,1
drug_injection,2,2.12253669184318,0,1
drug_injection,3,1.98860541266075,0,1
drug_injection,4,1.76453367155662,0,1
drug_injection,5,1.60533765238395,0,1
drug_injection,6,1.3703209487783,0,1
drug_injection,7,1.77593878191581,0,1
drug_injection,8,1.59755924624076,0,1
drug_injection,9,1.34291455429664,0,1
drug_injection,10,1.37146464270225,0,1
drug_injection,11,0.803845318971782,0,1
drug_injection,12,0.436042089952736,0,1
drug_injection,13,0.991231533704905,0,1
drug_injection,14,0.978513273416667,0,1
drug_injection,15,1.19986942690483,0,1
drug_injection,16,0.866445663391261,0,1
drug_injection,17,0.611909988342433,0,1
drug_injection,18,1.22615751904121,0,1
drug_injection,19,1.69035759848228,0,1
drug_injection,20,1.38334128540626,0,1
drug_injection,21,1.12831184548011,0,1
drug_injection,22,0.787030312238841,0,1
drug_injection,23,0.663619014440684,0,1
drug_injection,24,0.701931270776896,0,1
drug_injection,25,1.05531266611686,0,1
drug_injection,26,0.732165905653148,0,1
drug_injection,27,0.706208053051143,0,1
drug_injection,28,0.412373280857338,0,1
drug_injection,29,0.661067935644297,0,1
drug_injection,30,1.3262855140554,0,1
drug_injection,31,1.06355384272209,0,1
drug_injection,32,1.19490120094886,0,1
drug_injection,33,1.00153491181007,0,1
drug_injection,34,0.59607850295177,0,1
drug_injection,35,0.599823805509715,0,1
drug_injection,36,0.503823834477572,0,1
drug_injection,37,0.778576108633189,0,1
drug_injection,38,0.9499347535955,0,1
drug_injection,39,0.802057596861033,0,1
drug_injection,40,0.721266540704875,0,1
drug_injection,41,1.00452855509391,0,1
drug_injection,42,0.693419727502971,0,1
drug_injection,43,0.363808996050267,0,1
drug_injection,44,0.176096978603511,0,1
drug_injection,45,0.190083491622119,0,1
drug_injection,46,-0.391884651960225,0,1
drug_injection,47,0.0159971443997906,0,1
drug_injection,48,-0.364255932153554,0,1
drug_injection,49,-0.232361224473806,0,1
drug_injection,50,-0.223549094976278,0,1
drug_injection,51,0.0206088451730297,0,1
drug_injection,52,-0.206211176694722,0,1
drug_injection,53,0.0827013282167003,0,1
drug_injection,54,0.259317087947039,0,1
drug_injection,55,0.630921858369021,0,1
drug_injection,56,0.146233591257243,0,1
drug_injection,57,-0.136474695981832,0,1
drug_injection,58,-0.0467455955160572,0,1
drug_injection,59,-0.197748211206289,0,1
drug_injection,60,0.463482874451785,0,1
drug_injection,61,0.655295032082705,0,1
drug_injection,62,0.450921102433114,0,1
drug_injection,63,0.311885933397918,0,1
drug_injection,64,-0.198652592481466,0,1
drug_injection,65,-0.66499444562325,0,1
drug_injection,66,-0.195744958700032,0,1
drug_injection,67,0.923328491865306,0,1
drug_injection,68,0.724470558582454,0,1
drug_injection,69,0.398094131617455,0,1
