t_s,z_peak,prominence_z,width_s,resid_peak_df
8064.66339070673,3.189097,5.093065,19.30522,4.353044
8375.99215248016,2.764672,4.855787,18.65242,3.784909
8544.68181310636,3.110487,5.912736,20.68454,4.247816
8581.15259637695,2.701805,4.133353,9.030144,3.700755
8632.17237135655,2.836609,4.545212,9.997824,3.881204
8813.93646372127,4.848589,7.481325,17.45818,6.57444
9032.95777134084,3.323156,1.531993,2.760192,4.532496
9037.87297124254,3.820242,5.810584,18.7031,5.197895
9112.48570575028,2.60287,1.913166,3.71712,3.568321
9124.28218551436,2.88311,4.323629,9.02784,3.94345
9142.76333714473,2.557446,3.691614,11.54458,3.507515
9189.55604020888,2.668666,1.51099,2.54208,3.656395
9197.81357604373,2.824783,4.691314,21.16838,3.865374
9416.2450596751,3.246608,4.681645,7.300608,4.430029
9688.05561423889,3.459842,5.112306,10.50394,4.715464
9729.14668541706,2.884826,1.369506,3.116544,3.945747
9734.750013305,3.214518,3.928707,13.12051,4.387073
9781.24780437504,3.814209,5.393138,15.28627,5.189819
9786.26130827477,3.005381,1.177853,2.74944,4.107122
9809.16613981668,2.667843,3.704713,8.657664,3.655294
9853.50124292997,2.854307,1.213567,2.581248,3.904895
9861.46386677072,4.510263,6.813202,25.68115,6.121558
9870.11461859771,4.30858,1.859577,3.807744,5.851584
9959.57125680857,2.86384,4.257865,12.69965,3.917655
9965.37119269258,2.712037,1.117449,2.118144,3.714452
10006.4622638708,2.850862,4.197735,15.07046,3.900283
10011.7706797646,2.505351,1.012334,3.637248,3.437782
10052.2719269546,2.996778,4.096418,9.867264,4.095607
10146.8403730632,3.462732,4.996148,9.366528,4.719332
10246.1274110775,2.83522,1.867209,3.273216,3.879344
10256.9408508612,3.530578,5.317943,16.18099,4.81015
10285.9405302812,2.788105,4.6174,5.554176,3.816277
10451.8776789624,3.303562,5.23485,13.0775,4.506268
10657.7262508455,3.718356,5.928249,13.29792,5.06151
10711.301929774,3.130833,4.376107,10.15987,4.275052
10770.9724565805,2.85037,3.815701,7.279104,3.899624
10799.9721360006,2.823421,4.591641,8.771328,3.86355
11288.8379182232,6.867286,12.06177,12.08294,9.276669
11318.4274216315,2.800428,4.826304,11.22278,3.832772
11346.3457570731,2.897715,4.970938,16.96896,3.963
11467.1613706568,3.364504,1.182696,1.853952,4.587844
11476.2053384759,5.325196,7.485475,23.97849,7.212426
11545.8045690839,3.419959,8.018255,28.25011,4.662076
11613.1428077371,3.173737,3.940893,4.84224,4.332483
11672.8133345437,2.745221,4.310262,10.14528,3.758872
11697.6842460463,6.001972,9.527304,7.266816,8.118359
12043.3211031336,2.812623,4.604639,10.33344,3.849096
14921.0723415786,2.80532,5.190167,30.50496,3.83932
15344.6642691067,2.777171,5.097729,19.7591,3.801641
15682.9283263414,2.602035,4.328051,16.19098,3.567204
15865.6754586865,2.550002,4.010611,17.11104,3.497551
16135.9131492817,2.772273,4.501078,22.55616,3.795084
16400.6458159871,2.784312,5.229544,16.79616,3.811198
17226.7926154641,3.244484,6.064912,20.1216,4.427185
18056.3800548724,2.74243,4.268296,21.50246,3.755136
18386.3865762723,4.04342,7.075914,28.36685,5.496642
18586.2386042752,2.605616,3.967553,12.33562,3.571996
19269.7463026051,2.777961,4.378181,13.2265,3.802698
19489.3574342128,3.372447,5.570319,23.33952,4.598476
19619.9051436019,2.881482,4.531236,14.32013,3.941271
20269.7928746041,2.755107,4.938721,7.033344,3.772106
20399.2592400148,2.511543,4.488094,14.44301,3.446071
21191.4911601702,2.972542,4.671923,12.62285,4.063164
21306.4085338718,3.847496,7.060465,20.62848,5.234377
21552.5617449488,3.00999,5.270722,19.54253,4.113292
21683.797582324,2.889098,4.825656,11.37562,3.951465
22019.9972556001,3.187294,5.684358,16.69939,4.35063
23034.9860353003,2.976679,4.685114,13.9561,4.068701
23087.4803702504,2.817689,3.936588,11.67206,3.855878
23850.6143069877,3.158175,5.481934,14.08819,4.311653
24386.2727922745,3.002782,4.73375,13.40467,4.103643
24697.5032500499,2.998376,4.438368,8.299007,4.097744
25017.7776756444,2.535839,3.708545,8.600064,3.478593
25100.8445539831,3.116312,4.926221,10.34035,4.255614
25678.6754544265,3.382352,5.414992,12.96998,4.611735
26538.6388292272,2.885242,4.265532,10.17446,3.946304
26626.9158194617,3.573331,5.739631,18.14938,4.86738
26794.7207441056,2.961852,4.726949,6.868992,4.048853
27344.1417891172,3.179073,4.772714,14.08819,4.339626
27591.0814321784,3.02391,4.587749,14.07283,4.131925
27599.7321840054,2.506908,1.116978,2.543616,3.439866
28204.7932919041,3.273646,5.139959,12.49075,4.466221
28511.4034617719,2.852958,4.339304,6.915072,3.903088
28551.0199729796,3.205561,5.033872,10.38336,4.375082
28670.5576345888,2.857425,4.005814,7.071744,3.909068
29094.149562117,2.716985,4.07864,10.59226,3.721075
29144.3829051123,3.861776,6.007524,19.94957,5.253492
29776.1827004763,4.443001,6.548596,15.63648,6.03152
