t_s,z_peak,prominence_z,width_s,resid_peak_df
4834.00079931998,3.070838,5.773183,12.37978,3.500663
5700.55054198899,2.525002,6.036415,10.08384,2.903868
5898.04327403913,4.430128,4.023167,8.082816,4.986854
5908.56180182876,4.260141,1.086864,2.161152,4.800997
5914.65664970687,4.443601,1.570399,3.510528,5.001585
5921.93114556138,6.221626,10.18235,28.10688,6.945605
5937.95469724091,2.600274,2.157252,2.978304,2.986167
5949.94778500104,2.798463,2.729276,4.356864,3.202859
5957.71380084572,2.851983,4.324645,6.264576,3.261375
5971.77127256457,3.258398,4.923888,5.500416,3.705733
5995.65914408682,3.037139,4.594285,6.822912,3.463817
6015.41824769163,2.919409,3.975959,5.806848,3.335096
6025.93677548126,2.823833,3.283084,3.216384,3.230597
6048.15347903693,3.215028,5.064492,6.104448,3.658314
6102.71219794576,2.53056,3.816175,8.691456,2.909944
6651.7400269652,3.582417,5.654629,5.284608,4.060002
6669.04153061917,3.392632,3.805058,4.728576,3.852499
6689.88197820236,3.306455,5.316607,8.385792,3.758276
6697.94290604114,2.54896,2.208561,5.328384,2.930063
6741.5898811682,3.016027,5.018038,14.22874,3.440734
6883.44255033115,3.674609,5.112859,7.358208,4.160801
6926.79461346411,3.960085,6.190455,14.68954,4.472929
7025.2952194941,2.532096,4.525335,14.7264,2.911623
7113.27729773445,3.771137,5.828879,13.35475,4.26634
7145.81592108368,3.878051,5.120951,7.78752,4.383236
7234.48612731028,3.887832,1.310508,2.558208,4.39393
7238.3199832336,3.893499,5.096694,10.40563,4.400126
7296.41764607165,4.757685,6.711849,11.16979,5.344992
7414.48074771038,5.483735,7.787957,39.0144,6.138825
7423.52471552951,5.253209,1.542088,2.64576,5.886777
7429.22634741547,4.345283,1.531974,4.728576,4.894088
7826.17789147644,4.39201,5.816527,7.10016,4.945178
7879.06544241869,4.728265,6.563359,17.38522,5.312826
7886.24163427517,4.122553,1.339234,2.02752,4.650565
8111.75100576498,3.068586,1.278672,1.979904,3.4982
8121.28649357427,4.659812,5.865642,19.39277,5.237981
8142.02863715943,2.739549,3.644785,6.59328,3.138444
8166.89954866201,3.541139,5.249195,5.983488,4.014871
8191.96706816066,2.905951,2.216665,3.32928,3.320381
8204.64828390703,3.131868,4.628927,7.67616,3.56739
8231.38697137226,2.895332,4.061283,5.12256,3.308771
8731.75432136491,5.427301,7.968482,7.506432,6.077123
9267.01959065961,3.812715,5.3744,6.544896,4.3118
9678.5201264296,2.752237,4.188501,11.4263,3.152316
9685.59801428804,2.650877,1.848237,2.738688,3.041494
9726.19756547605,6.666911,10.36522,20.38195,7.432461
9774.7597405048,2.729294,4.413782,7.029504,3.127232
9797.86118004278,2.505667,2.221317,3.90144,2.882728
9810.05087579898,3.518372,2.983365,3.94368,3.989978
9818.60332362793,2.732846,1.12741,1.744896,3.131116
9822.83039554339,3.858506,5.751411,11.70355,4.361866
9876.01285847974,3.56459,3.266109,3.452928,4.04051
9891.249978175,3.62432,5.006499,6.277632,4.105816
9923.10047353799,4.081204,6.340963,28.704,4.605355
9931.94783336104,3.517072,1.317462,3.165696,3.988556
9936.66642526667,3.597948,1.54548,4.75008,4.076983
10531.602221368,4.735254,7.369858,25.8793,5.320467
10726.1458334771,4.172132,6.472816,20.45414,4.704772
10738.0406172392,2.640507,1.458564,2.063616,3.030156
10786.2095762758,2.712758,4.231992,5.887488,3.109152
11024.6950755061,2.570395,2.199377,2.35776,2.953498
11031.8712673626,3.459583,5.150588,6.983424,3.925701
11086.2333782753,2.563227,4.800325,8.606208,2.945661
11111.9890257602,6.125029,8.926181,23.66208,6.83999
11222.4827195503,2.958606,5.514416,16.85146,3.377953
11273.600798528,3.856497,5.932114,6.341376,4.359669
11343.101725138,4.045169,7.699325,11.07072,4.565956
11368.5624606287,3.78836,4.825258,5.4912,4.285172
11719.6060376079,2.777535,4.29116,5.778432,3.179977
12348.948233021,2.877774,5.370457,17.25466,3.289575
12379.8156884037,2.572314,3.014702,7.785984,2.955597
12937.5925732481,4.517256,6.608564,9.050112,5.082117
12961.3821407724,2.802964,3.735159,6.653952,3.20778
12990.4801241904,3.569591,5.358944,5.902848,4.045979
13004.1443799171,2.681832,4.182577,4.23168,3.075339
13107.8550978429,3.116033,4.766799,21.86957,3.550077
13145.0140090997,2.829127,3.374415,6.76608,3.236386
13227.097847458,4.003674,5.795512,13.48301,4.520586
13348.5032850299,3.87235,5.534893,8.921088,4.377003
13582.9583203408,3.112608,4.342617,11.56301,3.546332
13898.6124580278,2.810361,4.090222,5.13024,3.215867
14043.9057671219,3.96384,5.669529,9.074688,4.477034
14104.1661179167,2.669386,2.125912,4.007424,3.061731
14112.4236537515,3.383686,4.813308,11.0592,3.842717
14117.4371576513,3.332168,1.774941,2.74176,3.78639
14263.2219867356,3.108057,4.761646,8.798208,3.541356
14274.7235545055,2.666985,2.046205,2.330112,3.059106
14376.5664964687,2.540476,4.255058,13.68115,2.920786
15468.5273066295,2.505257,2.589571,3.34848,2.882279
15479.9305704014,5.536009,8.904685,8.173056,6.19598
15601.3360079733,3.925031,5.115573,7.531008,4.434602
15755.6732848865,2.562741,3.825527,8.610816,2.94513
16311.6806977664,2.762224,4.469038,7.908864,3.163237
17309.0730618185,2.911556,4.525981,4.50816,3.326509
17333.3541493329,2.982424,4.889022,9.793536,3.403993
17381.2281963754,5.280769,7.674315,9.1392,5.916911
17393.6145001277,3.022408,2.675441,2.804736,3.44771
17440.9970271801,2.745852,4.69215,14.21107,3.145335
17726.7667494647,3.285462,5.329075,14.35546,3.735323
18253.3812669324,2.573904,4.000839,7.891968,2.957335
18602.5570679489,2.509251,4.137653,9.748992,2.886646
19152.5679369486,3.560105,5.849937,9.629184,4.035607
19490.4387781912,2.663869,4.038756,5.511168,3.055699
19591.298680174,3.064946,4.644572,9.14688,3.49422
19647.3319590534,3.142731,4.957604,9.403392,3.579267
20136.00113328,2.522628,3.833344,15.08198,2.901272
20450.4756229905,5.567043,7.004056,8.45568,6.229911
20464.4347907113,5.241281,5.898495,4.972032,5.873735
20744.4045771119,7.193192,10.60726,33.99936,8.007875
20749.3197770136,6.670988,1.675962,3.744768,7.436919
20761.3128647737,6.407928,1.949163,4.27008,7.1493
20771.0449605791,4.47353,1.920413,2.881536,5.034309
20936.1956772761,4.220539,2.632911,4.46976,4.757698
20947.6972450461,5.169028,6.509079,8.188416,5.794738
20953.7920929242,2.888593,1.353677,3.9168,3.301403
20961.0665887787,3.657568,2.484663,2.64192,4.142169
20994.9814681004,3.411266,2.831093,4.512768,3.872873
21004.7135639057,4.125739,5.064019,5.69088,4.654048
21069.8891146022,5.519879,7.129073,6.603264,6.178343
21130.149465397,3.841808,5.175157,5.094912,4.343609
21142.8306811434,2.580521,3.355854,2.861568,2.964569
21555.8057768839,2.859665,4.226541,7.28064,3.269774
21952.4624089507,6.835116,8.678299,8.639999,7.616371
23025.450547491,2.736972,4.449157,9.695231,3.135627
23286.0544462789,3.152917,5.286616,22.84493,3.590404
23809.7198438056,4.150717,6.444272,22.04621,4.681358
23972.2163525557,2.801171,4.100688,19.23226,3.205819
24208.3425558331,2.764999,2.781483,4.299264,3.16627
24217.7797396444,4.236572,7.493551,28.52352,4.775229
24225.5457554891,3.67069,1.688213,3.499008,4.156516
24233.1151633377,2.55965,1.112973,4.217856,2.941751
24338.1038332379,3.207174,5.770384,18.2999,3.649727
24353.7341689253,2.719913,3.06177,6.308352,3.116976
24415.8622956828,4.95891,7.39906,6.240768,5.565003
24482.7090143458,4.904448,6.618279,8.865792,5.505456
24491.7529821649,3.773719,2.318213,4.019712,4.269164
24658.2799548344,2.678817,4.724004,17.15098,3.072042
25597.1814400564,3.162838,4.915681,10.38029,3.601251
25616.8422396632,2.511349,2.636881,3.800064,2.88894
26295.1398260972,2.801484,1.556312,2.402304,3.206162
26306.149873877,4.940536,7.046835,13.33862,5.544913
26640.1868591963,3.098238,4.632678,10.46323,3.53062
26955.251172895,2.868095,5.032741,8.460288,3.278991
28429.3196234136,5.1605,7.910543,14.39232,5.785413
29249.8630950027,3.754144,5.261626,19.54406,4.247762
29510.2703857946,2.726109,4.080472,8.279039,3.123749
30000.3158159937,3.560563,5.465755,6.961152,4.036108
30032.0680073586,3.268671,4.537701,9.03168,3.716965
30040.7187591856,2.64645,1.871637,2.297856,3.036654
30937.8410452432,2.801195,4.167942,24.80947,3.205845
