hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
2,7200,0,0,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
3,10800,28,3,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
4,14400,34,4,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
5,18000,134,12,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
6,21600,43,4,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
7,25200,86,8,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
8,28800,0,0,NaN,MA,20251003-ambtemp-mouse1-APP_scored_scores_1Hz.csv,20251003,ambtemp,mouse1,APP
0,0,3072,3,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,1484,13,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,1057,15,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,2099,3,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,1729,11,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,825,17,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,1575,6,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,1170,7,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,960,7,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,1760,11,NaN,WK,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,502,5,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,1724,21,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,2225,23,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,1488,5,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,1404,16,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,2341,24,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,1840,13,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,1799,19,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,2333,14,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,1404,12,NaN,NREM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,0,0,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,310,2,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,222,2,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,0,0,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,422,3,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,338,3,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,120,1,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,506,4,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,231,3,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,225,3,NaN,REM,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,26,2,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
1,3600,82,9,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
2,7200,96,9,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
3,10800,13,1,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
4,14400,45,5,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
5,18000,96,8,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
6,21600,65,6,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
7,25200,125,13,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
8,28800,76,7,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
9,32400,14,1,NaN,MA,20251005-baseline-mouse8-WT_scored_scores_1Hz.csv,20251005,baseline,mouse8,WT
0,0,1814,3,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,1069,4,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,772,12,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,2000,7,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,447,11,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,1139,7,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,862,6,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
