t_s,z_peak,prominence_z,width_s,resid_peak_df
9152.69204094616,2.584704,1.622505,1.146624,2.047836
9477.48845045023,2.884547,5.269142,23.14214,2.279091
9488.20358623593,2.764219,1.804268,2.3232,2.186287
9871.58917856822,2.763692,4.864164,21.0985,2.185881
10150.5759249885,3.168457,5.666978,25.2288,2.498058
10154.6063889079,3.065926,1.764144,2.520576,2.418981
10677.6819624464,2.899493,4.639378,10.25357,2.290618
10898.7676540246,3.006818,5.211555,20.09165,2.373394
11368.2675486346,2.975065,4.872606,10.00474,2.348903
11850.8418749832,5.156418,1.202988,1.598976,4.031281
11856.7401148652,5.963205,1.352158,1.842432,4.653519
11861.0654907787,6.231887,10.43473,54.58714,4.860741
11873.550098529,3.99344,1.312064,1.4208,3.13433
11879.9398584012,5.278162,2.875189,6.66624,4.125176
12095.3239180935,3.199813,6.147548,34.10304,2.522242
12104.7611019048,2.962533,1.04073,2.310144,2.339239
12108.6932618261,3.019397,1.186535,1.50528,2.383095
12114.7881097042,2.953073,2.816565,5.339904,2.331942
12154.4046209119,3.043888,5.514222,18.48883,2.401984
12263.8169707237,4.978698,10.14765,23.44166,3.894214
12344.3279451134,2.801921,4.257513,6.094848,2.215365
12490.3093821938,2.730855,5.707484,5.144064,2.160555
12615.8435876831,3.20397,5.090685,5.644032,2.525448
12654.1821469164,5.669438,3.451743,8.911104,4.42695
12665.6837146863,5.778484,9.585894,31.31059,4.511053
12725.8457614831,2.657183,3.953694,6.110976,2.103736
12989.300476214,3.298187,5.452955,7.584768,2.598113
13259.8330788033,3.14774,5.438152,13.15738,2.48208
13333.1678613366,3.454117,5.871404,11.51539,2.718374
13350.9608849808,2.788972,3.411778,9.572351,2.205379
15098.9042740219,3.401689,5.183566,17.17862,2.677939
15114.1413937172,2.639572,2.001025,1.668096,2.090153
15535.1774172965,2.684074,4.147356,9.917952,2.124476
15786.6390442672,3.265919,5.011965,12.33869,2.573226
16337.2397372552,4.02065,6.46553,11.904,3.155316
16349.3311290134,2.607666,2.565222,4.288512,2.065546
16446.5537830689,2.510855,4.762958,12.35558,1.99088
17371.4961005701,2.522471,4.337426,5.92128,1.999839
17830.8706833826,2.666763,4.982494,10.97318,2.111125
18674.7122025058,2.708376,5.018467,11.1913,2.143219
19199.7538560049,3.004344,5.150784,18.21542,2.371485
19237.600895248,2.553677,3.190976,12.56448,2.023906
20896.5791660684,2.794167,4.015324,5.724672,2.209385
20951.3344929733,2.876338,1.462513,1.562112,2.27276
20954.2836129143,3.098348,4.521143,12.17434,2.443986
21032.8285073434,3.257709,1.587241,1.631232,2.566894
21035.6793232864,3.409659,5.785206,14.02829,2.684086
21139.9798652004,2.771269,3.899662,4.1856,2.191725
21151.8746489625,2.567105,1.832769,3.500544,2.034263
21188.6403442272,2.772767,4.096228,5.21472,2.192881
21808.7419638252,3.223707,3.493574,3.820032,2.54067
21814.6402037072,3.445471,5.273035,5.503488,2.711706
21850.1279469974,4.370184,6.479982,7.832064,3.424895
21869.8870506023,3.308131,4.588714,9.01632,2.605782
22295.3467540931,3.173351,4.938779,9.87648,2.501832
22533.9305573214,4.654162,6.492805,12.30797,3.643914
22723.8538815229,4.290295,2.399962,1.744896,3.36328
22727.2945214541,3.614677,1.332506,1.6896,2.842207
22732.897849342,4.666905,7.758699,27.66336,3.653742
22757.5721528486,3.154292,3.271913,2.821632,2.487134
22767.2059446559,2.797244,3.21901,5.607936,2.211759
23473.2252585355,4.277668,6.560461,19.94957,3.353542
23476.9608104608,3.762469,1.201363,2.009088,2.956192
23575.1665044967,2.90064,4.556173,13.97299,2.291503
23910.5797457884,3.082918,1.624684,1.454592,2.432086
23916.7728976645,4.567567,2.68851,3.853824,3.577127
23921.8847055623,5.289414,3.487483,2.81856,4.133855
23926.2100814758,4.022361,1.929331,1.531392,3.156635
23931.6168013677,5.817931,9.985885,39.97286,4.541476
23938.6946892261,3.980197,1.092726,1.67424,3.124116
23995.2194880956,4.833617,8.009665,10.28198,3.78232
24004.4600639108,2.77507,1.965333,1.728,2.194657
24608.0466118391,2.533005,4.364596,6.624768,2.007963
24888.8028302239,2.504324,1.648423,2.251776,1.985842
24894.5044621099,2.646975,4.701753,20.15386,2.095863
25488.6538262269,3.103905,5.0911,21.87725,2.448272
25677.200894456,3.62689,5.946676,21.59309,2.851626
25683.099134338,3.337384,1.292071,1.6512,2.628344
26132.250101355,2.708547,4.51253,4.43904,2.143351
26174.0293005194,2.614402,4.19293,7.517184,2.070741
26466.9752146605,3.671492,5.875847,15.65491,2.886026
26470.3175505936,3.06114,1.07288,3.366912,2.415289
27989.6058402079,2.566093,4.608559,3.88608,2.033483
28163.702220726,3.883065,6.236556,14.75789,3.049203
28171.4682365706,3.005853,1.570693,1.053696,2.372649
28285.3042662939,3.272744,5.217376,12.14054,2.57849
28324.7241695055,2.99132,4.282887,9.46176,2.361441
28355.4933208901,3.103947,3.923028,8.933375,2.448305
28379.9710164006,4.178485,6.546702,16.15565,3.277047
28585.4263722915,2.683006,3.759071,4.66944,2.123652
28620.8158115837,2.787198,5.087644,10.27277,2.204011
28834.8236153035,2.527372,4.836645,19.08941,2.003619
28919.7582696048,2.559132,6.101634,7.9104,2.028114
29117.9391296412,3.733801,7.544152,9.513984,2.934082
29148.3150650337,2.758543,3.901145,5.587968,2.18191
29183.99941632,3.070106,4.282792,7.747584,2.422204
31546.6377050672,2.99983,4.651504,5.136384,2.368004
