MouseID,Genotype,Condition,State,Band,Power_dB
mouse3,APP,baseline,REM,Delta,-91.1871146420017
mouse3,APP,baseline,REM,Theta,-88.0678028693867
mouse3,APP,baseline,REM,Sigma,-93.4882838474484
mouse3,APP,baseline,REM,Beta,-92.0136157639042
mouse3,APP,baseline,REM,lGamma1,-95.5277090539171
mouse3,APP,baseline,REM,lGamma2,-102.810043828931
mouse3,APP,baseline,REM,hGamma,-100.197721150915
mouse12,WT,baseline,Wake,Delta,-91.5412034530803
mouse12,WT,baseline,Wake,Theta,-91.6891861054009
mouse12,WT,baseline,Wake,Sigma,-96.0245787551462
mouse12,WT,baseline,Wake,Beta,-94.620829066249
mouse12,WT,baseline,Wake,lGamma1,-96.1329196011409
mouse12,WT,baseline,Wake,lGamma2,-99.6972297445263
mouse12,WT,baseline,Wake,hGamma,-97.4766701505182
mouse12,WT,baseline,NREM,Delta,-88.0168782001472
mouse12,WT,baseline,NREM,Theta,-91.1785290157344
mouse12,WT,baseline,NREM,Sigma,-93.1490624784256
mouse12,WT,baseline,NREM,Beta,-93.0545085136179
mouse12,WT,baseline,NREM,lGamma1,-98.4118208639703
mouse12,WT,baseline,NREM,lGamma2,-105.281070814033
mouse12,WT,baseline,NREM,hGamma,-101.460911823357
mouse12,WT,baseline,REM,Delta,-92.2429250036453
mouse12,WT,baseline,REM,Theta,-88.8347299018207
mouse12,WT,baseline,REM,Sigma,-94.4701583530273
mouse12,WT,baseline,REM,Beta,-93.4470541007237
mouse12,WT,baseline,REM,lGamma1,-97.9031925661473
mouse12,WT,baseline,REM,lGamma2,-103.512551130565
mouse12,WT,baseline,REM,hGamma,-99.7496843917235
mouse11,WT,baseline,Wake,Delta,-89.9893628144214
mouse11,WT,baseline,Wake,Theta,-90.5779102464446
mouse11,WT,baseline,Wake,Sigma,-95.3787418456999
mouse11,WT,baseline,Wake,Beta,-94.3918721047393
mouse11,WT,baseline,Wake,lGamma1,-96.6905608755063
mouse11,WT,baseline,Wake,lGamma2,-101.144769241887
mouse11,WT,baseline,Wake,hGamma,-98.2176032681032
mouse11,WT,baseline,NREM,Delta,-87.3131656318095
mouse11,WT,baseline,NREM,Theta,-90.2442036345008
mouse11,WT,baseline,NREM,Sigma,-93.2871712793118
mouse11,WT,baseline,NREM,Beta,-93.4867758489699
mouse11,WT,baseline,NREM,lGamma1,-98.6908614427853
mouse11,WT,baseline,NREM,lGamma2,-105.349450565717
mouse11,WT,baseline,NREM,hGamma,-101.638707245155
mouse11,WT,baseline,REM,Delta,-90.617389305416
mouse11,WT,baseline,REM,Theta,-88.1540899993576
mouse11,WT,baseline,REM,Sigma,-94.272618864264
mouse11,WT,baseline,REM,Beta,-93.5251882057058
mouse11,WT,baseline,REM,lGamma1,-98.3885885371733
mouse11,WT,baseline,REM,lGamma2,-104.053121355556
mouse11,WT,baseline,REM,hGamma,-100.756624737468
mouse11,WT,ambtemp,Wake,Delta,-88.1229066134931
mouse11,WT,ambtemp,Wake,Theta,-90.3662027985532
mouse11,WT,ambtemp,Wake,Sigma,-94.1596857717129
mouse11,WT,ambtemp,Wake,Beta,-93.8759184928504
mouse11,WT,ambtemp,Wake,lGamma1,-96.3653702953829
mouse11,WT,ambtemp,Wake,lGamma2,-100.729055396887
mouse11,WT,ambtemp,Wake,hGamma,-99.532063155064
mouse11,WT,ambtemp,NREM,Delta,-88.5523300363433
mouse11,WT,ambtemp,NREM,Theta,-90.2467075239294
mouse11,WT,ambtemp,NREM,Sigma,-94.5279620194211
mouse11,WT,ambtemp,NREM,Beta,-93.8730562988548
mouse11,WT,ambtemp,NREM,lGamma1,-94.7210782280526
mouse11,WT,ambtemp,NREM,lGamma2,-97.7632604534124
mouse11,WT,ambtemp,NREM,hGamma,-98.1852207836251
mouse11,WT,ambtemp,REM,Delta,-88.6152898872373
mouse11,WT,ambtemp,REM,Theta,-90.4158565987042
mouse11,WT,ambtemp,REM,Sigma,-94.5059070893299
mouse11,WT,ambtemp,REM,Beta,-94.1777462894002
mouse11,WT,ambtemp,REM,lGamma1,-97.9784579358835
mouse11,WT,ambtemp,REM,lGamma2,-103.627656147818
mouse11,WT,ambtemp,REM,hGamma,-100.617855335364
mouse1,APP,drugs,Wake,Delta,-86.9298361446762
mouse1,APP,drugs,Wake,Theta,-90.4271430359027
mouse1,APP,drugs,Wake,Sigma,-94.4199254084818
mouse1,APP,drugs,Wake,Beta,-93.1315105957718
mouse1,APP,drugs,Wake,lGamma1,-95.6724528195518
mouse1,APP,drugs,Wake,lGamma2,-101.860068610122
mouse1,APP,drugs,Wake,hGamma,-98.5037667392897
mouse1,APP,drugs,NREM,Delta,-88.6334122200166
mouse1,APP,drugs,NREM,Theta,-89.7123268312408
mouse1,APP,drugs,NREM,Sigma,-92.5309152947019
mouse1,APP,drugs,NREM,Beta,-91.8279611411695
mouse1,APP,drugs,NREM,lGamma1,-96.0880725533809
mouse1,APP,drugs,NREM,lGamma2,-103.122410508618
mouse1,APP,drugs,NREM,hGamma,-100.329454404415
mouse1,APP,drugs,REM,Delta,-90.9561185597461
mouse1,APP,drugs,REM,Theta,-87.5055747037229
mouse1,APP,drugs,REM,Sigma,-92.6795575892671
mouse1,APP,drugs,REM,Beta,-91.4872470349285
mouse1,APP,drugs,REM,lGamma1,-95.3296544749323
mouse1,APP,drugs,REM,lGamma2,-101.482149165599
mouse1,APP,drugs,REM,hGamma,-99.2238937681515
mouse2,WT,drugs,Wake,Delta,-86.7464957235895
mouse2,WT,drugs,Wake,Theta,-90.7837612178462
mouse2,WT,drugs,Wake,Sigma,-94.5901530808935
mouse2,WT,drugs,Wake,Beta,-94.2114384280832
mouse2,WT,drugs,Wake,lGamma1,-98.2223951062029
mouse2,WT,drugs,Wake,lGamma2,-103.53548257249
mouse2,WT,drugs,Wake,hGamma,-100.091078366139
mouse2,WT,drugs,NREM,Delta,-87.4839154378686
mouse2,WT,drugs,NREM,Theta,-90.9797230924398
mouse2,WT,drugs,NREM,Sigma,-94.7493445114803
